               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12961,            0.027394,            0.030812,          8.7306e-05,            0.020833,          6.8062e-05,          6.8062e-06,            0.087846,            0.021788,            0.026189,              0.0892,              0.0012,              0.0012
                   1,             0.10931,            0.023613,             0.01975,          0.00032395,            0.046679,          0.00026269,          5.2467e-05,            0.079571,            0.020285,            0.023467,            0.077418,           0.0024175,           0.0024175
                   2,             0.10127,            0.022655,            0.016865,           0.0022371,             0.16181,           0.0016076,          0.00037485,            0.069975,            0.020153,            0.021094,            0.065549,           0.0035492,           0.0035492
                   3,             0.09044,            0.022012,            0.015993,           0.0043252,             0.26613,           0.0092313,            0.002244,            0.068255,            0.019154,            0.018239,            0.053595,           0.0045951,           0.0045951
                   4,            0.087299,            0.022953,            0.013761,             0.41513,            0.057644,            0.034215,           0.0089244,            0.064147,            0.018664,            0.015308,            0.041555,           0.0055552,           0.0055552
                   5,            0.079411,            0.020157,            0.013906,             0.40876,            0.090226,             0.03464,           0.0090616,            0.062753,            0.016516,            0.011966,            0.029429,           0.0064295,           0.0064295
                   6,              0.0795,            0.018368,            0.012197,             0.39863,            0.090226,            0.034738,           0.0080445,            0.063332,            0.015479,            0.010219,            0.017218,            0.007218,            0.007218
                   7,            0.080906,            0.016382,            0.011563,             0.36126,            0.032581,            0.012531,           0.0023202,            0.063816,            0.014418,            0.010245,             0.00769,             0.00769,             0.00769
                   8,            0.076097,            0.017234,           0.0090668,             0.41945,            0.096914,             0.05213,            0.014918,            0.066438,            0.014028,            0.009833,             0.00769,             0.00769,             0.00769
                   9,            0.073665,            0.017079,           0.0090814,             0.40587,            0.077694,            0.037053,           0.0085263,             0.05743,            0.014844,           0.0095868,             0.00736,             0.00736,             0.00736
                  10,            0.065961,            0.014868,           0.0096434,             0.80795,            0.090226,            0.068472,             0.02002,            0.058473,            0.013986,            0.009669,             0.00703,             0.00703,             0.00703
                  11,            0.063544,            0.016827,           0.0075485,             0.48807,             0.10777,            0.091856,            0.026481,            0.055332,            0.014447,           0.0092155,              0.0067,              0.0067,              0.0067
                  12,            0.063043,            0.014748,            0.007338,             0.82993,             0.10106,            0.078145,             0.01851,            0.050635,            0.015601,            0.008843,             0.00637,             0.00637,             0.00637
                  13,             0.05871,            0.014392,           0.0078822,             0.77933,             0.11389,            0.078247,            0.021747,            0.054586,            0.014762,           0.0085021,             0.00604,             0.00604,             0.00604
                  14,            0.054432,            0.014025,           0.0095133,              0.7874,              0.1203,            0.084655,            0.024167,            0.050749,            0.015221,           0.0084091,             0.00571,             0.00571,             0.00571
                  15,            0.048957,             0.01534,            0.011368,             0.79342,             0.12149,            0.097586,            0.041809,            0.045195,            0.015371,            0.008315,             0.00538,             0.00538,             0.00538
                  16,            0.051331,            0.014775,           0.0082163,             0.84389,              0.1203,             0.13301,            0.060828,            0.042277,            0.015279,           0.0083841,             0.00505,             0.00505,             0.00505
                  17,            0.046923,            0.014453,           0.0083577,             0.80632,             0.12782,             0.10199,            0.041008,            0.045601,            0.014797,           0.0084515,             0.00472,             0.00472,             0.00472
                  18,            0.046389,            0.012892,           0.0078248,             0.81373,             0.13534,             0.11326,            0.043462,            0.042577,            0.015093,           0.0083421,             0.00439,             0.00439,             0.00439
                  19,            0.045816,            0.012248,           0.0062654,             0.86992,             0.13033,             0.12133,            0.039432,            0.044759,            0.014822,           0.0082669,             0.00406,             0.00406,             0.00406
                  20,             0.04053,            0.013874,            0.008701,             0.85779,             0.13283,             0.13223,            0.062877,            0.041143,            0.015032,           0.0082282,             0.00373,             0.00373,             0.00373
                  21,            0.039914,            0.011926,           0.0085691,             0.82421,             0.13283,             0.10759,            0.049264,            0.043429,            0.014365,           0.0081986,              0.0034,              0.0034,              0.0034
                  22,            0.038403,            0.013189,           0.0056643,             0.57394,             0.13784,             0.16129,            0.085035,            0.039397,              0.0146,            0.008109,             0.00307,             0.00307,             0.00307
                  23,             0.03626,            0.013034,           0.0049595,             0.56677,             0.13784,             0.15989,            0.087608,            0.039012,            0.014336,           0.0079494,             0.00274,             0.00274,             0.00274
                  24,            0.036797,            0.011577,           0.0073678,             0.57339,             0.13784,              0.1702,            0.092973,            0.038075,            0.014334,           0.0079026,             0.00241,             0.00241,             0.00241
                  25,            0.034348,            0.011051,           0.0075966,             0.58274,             0.13784,              0.1747,            0.097011,            0.037903,            0.014139,           0.0078655,             0.00208,             0.00208,             0.00208
                  26,            0.031446,            0.011719,           0.0052304,             0.58679,             0.13784,             0.17308,             0.09817,            0.037454,            0.014056,           0.0077994,             0.00175,             0.00175,             0.00175
                  27,            0.030382,            0.011496,           0.0050034,             0.59177,             0.13839,             0.16954,             0.09972,            0.037648,              0.0138,           0.0077602,             0.00142,             0.00142,             0.00142
                  28,            0.032029,             0.01163,           0.0057969,             0.59233,             0.14286,             0.17685,             0.10015,            0.037669,            0.013679,           0.0076699,             0.00109,             0.00109,             0.00109
                  29,            0.027843,            0.010833,           0.0070228,             0.93124,             0.14286,             0.17849,             0.10228,            0.036945,            0.013622,           0.0076643,             0.00076,             0.00076,             0.00076
